frame,t_sec,detected,side_used,knee_angle_raw,knee_angle,excluded_reason,left_hip_x,left_hip_y,left_hip_conf,left_knee_x,left_knee_y,left_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf,right_hip_x,right_hip_y,right_hip_conf,right_knee_x,right_knee_y,right_knee_conf,right_ankle_x,right_ankle_y,right_ankle_conf
0,0.0,1,left,80.52511223880215,79.42112027275456,,0.4952586591243744,0.507192075252533,0.9999887943267822,0.47893521189689636,0.564999520778656,0.9990339279174805,0.5873752236366272,0.5769590139389038,0.9946960210800171,0.5025550723075867,0.5146945118904114,0.9999634027481079,0.43361198902130127,0.559330403804779,0.8332626819610596,0.47306114435195923,0.6055333614349365,0.9383770227432251
1,0.03333333333333333,1,left,78.3492379927196,80.52511223880215,,0.49706950783729553,0.5074270367622375,0.9999887943267822,0.47826236486434937,0.5646175146102905,0.9990937113761902,0.5846003293991089,0.5768323540687561,0.9949467778205872,0.49601560831069946,0.5147023797035217,0.9999625086784363,0.4324290156364441,0.5589536428451538,0.8342036604881287,0.4770558476448059,0.6041048765182495,0.9391972422599792
2,0.06666666666666667,1,left,79.42112027275456,79.42112027275456,,0.4946269690990448,0.5074512958526611,0.9999884963035583,0.47645461559295654,0.5636309385299683,0.9990972280502319,0.5767260193824768,0.5765576362609863,0.9953203201293945,0.4941445589065552,0.513455331325531,0.9999627470970154,0.45131081342697144,0.5638216733932495,0.8388026356697083,0.5128962993621826,0.6019538640975952,0.9420192837715149
3,0.1,1,left,91.39306515135539,79.42112027275456,,0.49272558093070984,0.5052520632743835,0.9999886155128479,0.48477694392204285,0.5594502687454224,0.9991219639778137,0.578204870223999,0.5754814743995667,0.9957103729248047,0.48810240626335144,0.5120850801467896,0.9999608993530273,0.4474184811115265,0.563348114490509,0.8374692797660828,0.48683249950408936,0.6021402478218079,0.9408837556838989
4,0.13333333333333333,1,left,76.29091075562673,79.72898531450033,,0.49160441756248474,0.5004170536994934,0.99998539686203,0.45563286542892456,0.5555626153945923,0.9988594651222229,0.5406895279884338,0.5855281352996826,0.995868980884552,0.4843653738498688,0.510141134262085,0.9999552965164185,0.4655079245567322,0.5637980103492737,0.8415994048118591,0.5392348766326904,0.5865489840507507,0.9400759935379028
5,0.16666666666666666,1,left,79.72898531450033,91.39306515135539,,0.491599440574646,0.4959126114845276,0.9999793767929077,0.4586982727050781,0.5512388944625854,0.9986396431922913,0.5488326549530029,0.5848811864852905,0.9959391355514526,0.48210060596466064,0.5076221227645874,0.9999406933784485,0.4592706263065338,0.5633957982063293,0.8440740704536438,0.5384451746940613,0.5827088356018066,0.9373980760574341
6,0.2,1,left,96.85001627553592,96.85001627553592,,0.490884006023407,0.49203911423683167,0.9999761581420898,0.4760723114013672,0.5461582541465759,0.9984632134437561,0.553918182849884,0.5778573155403137,0.9959352612495422,0.48119062185287476,0.5051785707473755,0.9999269843101501,0.45756766200065613,0.5606371760368347,0.8413310050964355,0.5267634391784668,0.5868467688560486,0.9320970177650452
7,0.23333333333333334,1,left,101.9500997382181,101.9500997382181,,0.4886726140975952,0.48906031250953674,0.9999706745147705,0.4758363366127014,0.5457194447517395,0.9975288510322571,0.547519862651825,0.5787131190299988,0.9952566623687744,0.47884875535964966,0.5009517669677734,0.9999194145202637,0.4674413502216339,0.560469925403595,0.8418320417404175,0.5428158044815063,0.5855344533920288,0.9287667274475098
8,0.26666666666666666,1,left,103.4312765114005,103.4312765114005,,0.4856935441493988,0.4859984815120697,0.999969482421875,0.47995299100875854,0.5429708957672119,0.9971005916595459,0.5508197546005249,0.5676285028457642,0.9951807856559753,0.4756380617618561,0.49734124541282654,0.9999179244041443,0.4608275592327118,0.5605286359786987,0.8387627601623535,0.532279908657074,0.5875973701477051,0.9252476692199707
9,0.3,1,left,107.23779428987524,107.23779428987524,,0.4837426543235779,0.48215252161026,0.9999666810035706,0.48138394951820374,0.5420103669166565,0.996407687664032,0.5559188723564148,0.5683963298797607,0.9947047829627991,0.47291290760040283,0.49527502059936523,0.9999171495437622,0.4594026505947113,0.5576037168502808,0.837153971195221,0.5322250723838806,0.5878270268440247,0.9221044778823853
