frame,t_sec,detected,side_used,knee_angle_raw,knee_angle,excluded_reason,left_hip_x,left_hip_y,left_hip_conf,left_knee_x,left_knee_y,left_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf,right_hip_x,right_hip_y,right_hip_conf,right_knee_x,right_knee_y,right_knee_conf,right_ankle_x,right_ankle_y,right_ankle_conf
0,0.0,1,left,164.72716398025028,164.38119331873438,,0.5690650939941406,0.5247557759284973,0.9997096657752991,0.5380762815475464,0.6388362646102905,0.8443076610565186,0.5382773280143738,0.790959894657135,0.8842767477035522,0.5422309041023254,0.5516917109489441,0.9990535378456116,0.5170634984970093,0.648320198059082,0.6597200632095337,0.5315032005310059,0.7891387343406677,0.5097119808197021
1,0.03333333333333333,1,left,164.38119331873438,164.38119331873438,,0.5686076879501343,0.5254235863685608,0.999721348285675,0.5376511812210083,0.6381686925888062,0.8449761867523193,0.538344144821167,0.7877544164657593,0.8845664262771606,0.5414199233055115,0.5518596768379211,0.9990880489349365,0.5170491933822632,0.6473485231399536,0.6546696424484253,0.5312458276748657,0.786263108253479,0.5061261653900146
2,0.06666666666666667,1,left,162.52116875081,162.52116875081,,0.568386971950531,0.5258451700210571,0.9997327923774719,0.5353003740310669,0.6388179659843445,0.8497393727302551,0.5382667183876038,0.7859503030776978,0.8890971541404724,0.5415123701095581,0.5524895787239075,0.999122679233551,0.5170444250106812,0.6474047899246216,0.651177704334259,0.5308435559272766,0.7848709225654602,0.5104753375053406
3,0.1,1,left,161.8968965698782,161.8968965698782,,0.5674154758453369,0.5272716283798218,0.9997413754463196,0.5342417359352112,0.6390578150749207,0.8491799235343933,0.5382657647132874,0.785474419593811,0.8902751207351685,0.540755033493042,0.5546709895133972,0.9991362690925598,0.5162982940673828,0.6474953889846802,0.647244930267334,0.5299970507621765,0.7843884825706482,0.5078665614128113
4,0.13333333333333333,1,left,160.53152124641142,160.53152124641142,,0.5662120580673218,0.5274333357810974,0.9997493624687195,0.5320777893066406,0.6384800672531128,0.8518332242965698,0.5381836295127869,0.7852782011032104,0.8931857347488403,0.5398654937744141,0.5548577904701233,0.999131977558136,0.5145328044891357,0.6476858854293823,0.6513850092887878,0.5294927358627319,0.7842696905136108,0.5104732513427734
5,0.16666666666666666,1,left,156.11555539057633,156.11555539057633,,0.5654847025871277,0.5302568078041077,0.9997557997703552,0.5266990065574646,0.6395286321640015,0.8547557592391968,0.5377695560455322,0.7853230834007263,0.8990452885627747,0.5397225022315979,0.5569709539413452,0.9991052150726318,0.5119583010673523,0.6478354930877686,0.6517085433006287,0.5294066071510315,0.7843382358551025,0.5143343210220337
6,0.2,1,left,151.9321708649397,152.41404940063939,,0.5651606917381287,0.5323755145072937,0.9997687339782715,0.5212777853012085,0.6404370665550232,0.8575819134712219,0.536422610282898,0.7853536605834961,0.9049710631370544,0.5397440791130066,0.5577152967453003,0.9991313219070435,0.509512186050415,0.6485707759857178,0.6545767188072205,0.5282942056655884,0.7843992710113525,0.517020583152771
7,0.23333333333333334,1,left,152.41404940063939,151.9321708649397,,0.5619542002677917,0.532166063785553,0.9997814297676086,0.5198088884353638,0.6400643587112427,0.8534529805183411,0.5357304811477661,0.7854381203651428,0.9061990976333618,0.5371249914169312,0.5569706559181213,0.9991651773452759,0.5067463517189026,0.6494637131690979,0.6533421874046326,0.5273112058639526,0.784306526184082,0.5123112201690674
8,0.26666666666666666,1,left,150.37694393838657,150.37694393838657,,0.5606124401092529,0.5325959920883179,0.9997666478157043,0.5181789398193359,0.6342875957489014,0.8529229760169983,0.5357497930526733,0.7779413461685181,0.9040507078170776,0.5352734327316284,0.5565187335014343,0.9991397261619568,0.5039273500442505,0.650686502456665,0.6536051034927368,0.5267876386642456,0.7841024398803711,0.5151045322418213
9,0.3,1,left,150.3127109524563,150.3127109524563,,0.5584797263145447,0.5325482487678528,0.9997683763504028,0.5171369910240173,0.633621096611023,0.8597068190574646,0.5358071327209473,0.7765758633613586,0.907141387462616,0.5319409370422363,0.5538545846939087,0.9991524815559387,0.5013483166694641,0.6513245105743408,0.6668515205383301,0.524618923664093,0.7836679220199585,0.5285794734954834
10,0.3333333333333333,1,left,147.74522296326927,147.74522296326927,,0.5564712882041931,0.5311965346336365,0.9997695088386536,0.5115297436714172,0.6344255805015564,0.8547548055648804,0.5334925055503845,0.7774767279624939,0.9048159718513489,0.5324422121047974,0.5470196008682251,0.9991698861122131,0.5021824836730957,0.6504532694816589,0.6476720571517944,0.5246050953865051,0.7820504903793335,0.5114670395851135
