index,start_frame,bottom_frame,end_frame,min_angle,shallow
1,55,74,104,38.02588937447457,False
2,137,163,193,38.281086400532175,False
3,220,242,274,37.12068877680879,False
4,391,434,489,38.0204675082148,False
5,555,607,667,37.76622466787695,False
6,721,774,829,37.672546661610234,False
