frame,t_sec,detected,side_used,knee_angle_raw,knee_angle,excluded_reason,left_hip_x,left_hip_y,left_hip_conf,left_knee_x,left_knee_y,left_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf,right_hip_x,right_hip_y,right_hip_conf,right_knee_x,right_knee_y,right_knee_conf,right_ankle_x,right_ankle_y,right_ankle_conf
0,0.0,1,right,160.5146388041123,160.5146388041123,,0.3353530168533325,0.5256738662719727,0.9986079335212708,0.35363835096359253,0.757330060005188,0.9305923581123352,0.344670832157135,0.9864959120750427,0.8339698910713196,0.3940640687942505,0.5357338786125183,0.9990286827087402,0.46042054891586304,0.7578791975975037,0.9840938448905945,0.4487024247646332,0.9929264783859253,0.9468319416046143
1,0.03333333333333333,1,right,160.46295608405464,160.6683101497757,,0.33571186661720276,0.5259531736373901,0.9986247420310974,0.3536517918109894,0.7573302984237671,0.9167747497558594,0.34473496675491333,0.9854369163513184,0.8167027831077576,0.3942064940929413,0.5361129641532898,0.9990422129631042,0.4603118896484375,0.7577438354492188,0.9836425185203552,0.44824323058128357,0.9936290383338928,0.943727433681488
2,0.06666666666666667,1,right,160.6683101497757,160.6683101497757,,0.33652350306510925,0.5262117385864258,0.9985586404800415,0.3536537289619446,0.7577624917030334,0.9076783657073975,0.34477484226226807,0.9854131937026978,0.7998607158660889,0.39460667967796326,0.5361136794090271,0.9989842176437378,0.46020516753196716,0.7577517032623291,0.982418954372406,0.4484115242958069,0.9951159954071045,0.9358718395233154
3,0.1,1,right,164.83173324250646,164.83173324250646,,0.3399582505226135,0.5119982361793518,0.9985368251800537,0.3548622131347656,0.7576566934585571,0.9018425941467285,0.3454607427120209,0.9843185544013977,0.792482316493988,0.39683741331100464,0.5201862454414368,0.9989562034606934,0.45383310317993164,0.754827618598938,0.9821673035621643,0.44747471809387207,0.9952029585838318,0.9344979524612427
4,0.13333333333333333,1,right,170.31941832814445,170.31941832814445,,0.34487080574035645,0.49896299839019775,0.998375654220581,0.35532090067863464,0.7558603286743164,0.9021586179733276,0.3447747230529785,0.9852126240730286,0.7975126504898071,0.4009249806404114,0.5071551203727722,0.9988667964935303,0.44395914673805237,0.7541833519935608,0.9829326272010803,0.444813072681427,0.9968734979629517,0.9373190402984619
5,0.16666666666666666,1,right,172.26614346605703,172.26614346605703,,0.3469125032424927,0.4948374330997467,0.9982451796531677,0.355769544839859,0.7535992860794067,0.9042709469795227,0.3445090651512146,0.9855760931968689,0.8052456378936768,0.4029906690120697,0.5030041933059692,0.9987713098526001,0.44090595841407776,0.7533339858055115,0.9836397767066956,0.44463276863098145,0.9963005185127258,0.9396460652351379
6,0.2,1,right,176.20883810436217,176.20883810436217,,0.3507649600505829,0.492156058549881,0.9978872537612915,0.3560193181037903,0.7510733604431152,0.8992223739624023,0.3445117175579071,0.9842692613601685,0.8024460077285767,0.4069599211215973,0.4993031322956085,0.9985941052436829,0.43423157930374146,0.7527157068252563,0.9824751019477844,0.4442000389099121,0.9954946637153625,0.9367700219154358
7,0.23333333333333334,1,right,178.41661073427596,177.2749295109423,,0.3552839457988739,0.4900692105293274,0.9975203275680542,0.3583829998970032,0.7496338486671448,0.890325665473938,0.344574511051178,0.982804000377655,0.7954346537590027,0.4113800525665283,0.49733132123947144,0.9984491467475891,0.4305288791656494,0.7531282901763916,0.9796388149261475,0.4419463276863098,0.9954362511634827,0.9324455261230469
8,0.26666666666666666,1,right,177.2749295109423,178.28411929019387,,0.3571067750453949,0.4864005744457245,0.9971599578857422,0.3591633141040802,0.7463127374649048,0.8775323629379272,0.3448655307292938,0.981427788734436,0.7827969193458557,0.4126742482185364,0.494439959526062,0.9983332753181458,0.4307475686073303,0.7526398301124573,0.976191520690918,0.43616828322410583,0.9954416751861572,0.926711916923523
9,0.3,1,right,178.28411929019387,178.41661073427596,,0.3616897761821747,0.48534002900123596,0.9967184662818909,0.36079663038253784,0.745820939540863,0.8646034598350525,0.3453865349292755,0.9797391295433044,0.7733957767486572,0.41743260622024536,0.49298930168151855,0.9981327652931213,0.4297257363796234,0.7525750994682312,0.973019003868103,0.4339264929294586,0.9943405389785767,0.9223156571388245
10,0.3333333333333333,1,right,178.94140523650483,178.94140523650483,,0.3642311692237854,0.4858713746070862,0.9963102340698242,0.36094778776168823,0.7459992170333862,0.8573483824729919,0.3445817828178406,0.9805691838264465,0.7677710056304932,0.41818442940711975,0.49215319752693176,0.9977763295173645,0.42919817566871643,0.7567819952964783,0.9682994484901428,0.43476495146751404,0.997520387172699,0.9152352213859558
11,0.36666666666666664,1,right,179.68943122919086,179.68943122919086,,0.36537057161331177,0.48657530546188354,0.9960851073265076,0.36107850074768066,0.7461363077163696,0.8520276546478271,0.34431272745132446,0.9810829758644104,0.7630327939987183,0.41944146156311035,0.4928145408630371,0.9975480437278748,0.4284614026546478,0.7586918473243713,0.9644379019737244,0.4353235363960266,0.9994730353355408,0.9088369607925415
12,0.4,1,right,179.77415396719857,179.77415396719857,,0.3666622042655945,0.4873714745044708,0.9959147572517395,0.3614824414253235,0.7461284399032593,0.8472420573234558,0.34417659044265747,0.9810479879379272,0.76116943359375,0.4211301803588867,0.4935716986656189,0.9973574280738831,0.4291967749595642,0.7598237991333008,0.961057722568512,0.43551772832870483,0.99969083070755,0.9045225381851196
13,0.43333333333333335,1,right,179.95468029525676,179.86429904370314,,0.36715447902679443,0.4876597225666046,0.995658278465271,0.3623594641685486,0.7437731623649597,0.8426116704940796,0.34457945823669434,0.9808071851730347,0.7583401799201965,0.42127376794815063,0.49317386746406555,0.9971535801887512,0.4298284947872162,0.7598260641098022,0.9585700631141663,0.4373947083950043,1.001633882522583,0.9007035493850708
14,0.4666666666666667,1,right,179.86429904370314,179.92760312946504,,0.36766573786735535,0.48738840222358704,0.995320737361908,0.3627685308456421,0.7426360249519348,0.8365908265113831,0.3449219763278961,0.9807066321372986,0.7540881633758545,0.4214516580104828,0.4926600158214569,0.9968631267547607,0.43003201484680176,0.7600311040878296,0.9550079107284546,0.43839162588119507,1.0026015043258667,0.8954357504844666
15,0.5,1,right,179.9654370500578,179.95468029525676,,0.36765846610069275,0.48707589507102966,0.9950383901596069,0.3632565438747406,0.7404142618179321,0.832108736038208,0.34504953026771545,0.9794644713401794,0.7513206005096436,0.4212474822998047,0.49173837900161743,0.9966163635253906,0.43025660514831543,0.7597819566726685,0.9527676105499268,0.43849873542785645,1.0006771087646484,0.891940712928772
16,0.5333333333333333,1,right,179.92760312946504,179.9653246877164,,0.3674258589744568,0.48687294125556946,0.9949008226394653,0.36343976855278015,0.7390443682670593,0.8296900987625122,0.34506866335868835,0.9788539409637451,0.7512521147727966,0.42106834053993225,0.4914082884788513,0.9964752793312073,0.4301452040672302,0.7592037916183472,0.950910210609436,0.43856868147850037,0.9987805485725403,0.8895204067230225
17,0.5666666666666667,1,right,179.9653246877164,179.9653246877164,,0.3671216368675232,0.4868529438972473,0.9948344826698303,0.36341503262519836,0.7391989231109619,0.829520583152771,0.3450574278831482,0.9790176153182983,0.7520159482955933,0.4208010733127594,0.4910624325275421,0.9963907599449158,0.4300669729709625,0.7596421837806702,0.9499124884605408,0.43817204236984253,0.9987741112709045,0.8882227540016174
18,0.6,1,right,179.97378297773383,179.92760312946504,,0.36683639883995056,0.4868450462818146,0.9948472380638123,0.3633914589881897,0.7393583655357361,0.8291426301002502,0.3450700640678406,0.9795712828636169,0.7517926096916199,0.42063775658607483,0.49102213978767395,0.9963319301605225,0.4299677312374115,0.7596666812896729,0.9482759237289429,0.4381577968597412,0.998641312122345,0.885810911655426
19,0.6333333333333333,1,right,179.9263763529928,179.94946045353223,,0.3666671812534332,0.48666489124298096,0.9947724938392639,0.363363116979599,0.739441990852356,0.8250459432601929,0.3450711667537689,0.97972172498703,0.7473748326301575,0.42050185799598694,0.49079978466033936,0.9962589144706726,0.42987245321273804,0.7596628665924072,0.9460940957069397,0.43851765990257263,0.9988821148872375,0.8823235630989075
20,0.6666666666666666,1,right,179.8739578029574,179.9263763529928,,0.36652466654777527,0.48669561743736267,0.9947285652160645,0.3633333146572113,0.7394298911094666,0.8222024440765381,0.34517964720726013,0.9794427752494812,0.7452097535133362,0.4203859269618988,0.49088457226753235,0.9961897134780884,0.4297012686729431,0.7595385313034058,0.944541335105896,0.43747156858444214,0.9988323450088501,0.8805816173553467
21,0.7,1,right,179.94946045353223,179.9263763529928,,0.3664330840110779,0.48672032356262207,0.9946043491363525,0.363294392824173,0.7394549250602722,0.819945752620697,0.3451831340789795,0.9793691039085388,0.742692232131958,0.42034468054771423,0.4908439517021179,0.9960659146308899,0.42966240644454956,0.7596220970153809,0.9434030055999756,0.4377727508544922,0.9996877312660217,0.8791943788528442
22,0.7333333333333333,1,right,179.90200166490317,179.94946045353223,,0.3664677143096924,0.48674532771110535,0.9946235418319702,0.36327052116394043,0.7394810914993286,0.8174147009849548,0.34542566537857056,0.9793776869773865,0.7432317137718201,0.42025741934776306,0.4908812940120697,0.996048092842102,0.42964595556259155,0.7596443891525269,0.9428187012672424,0.4375922679901123,0.9988470077514648,0.8788394927978516
23,0.7666666666666667,1,right,179.9608780646088,179.9608780646088,,0.36644142866134644,0.487093448638916,0.9946414828300476,0.3632502853870392,0.7396820783615112,0.8193300366401672,0.34508588910102844,0.9793859720230103,0.7450652718544006,0.4202558100223541,0.4913060963153839,0.9960281848907471,0.4295775890350342,0.7599385380744934,0.9423937201499939,0.43770545721054077,0.9988722205162048,0.8780039548873901
24,0.8,1,right,179.981301413785,179.9608780646088,,0.3663943409919739,0.4872440695762634,0.9946067333221436,0.36327633261680603,0.7394079566001892,0.8180050849914551,0.3451995253562927,0.9793084263801575,0.7446779608726501,0.42035531997680664,0.4914115071296692,0.9959860444068909,0.4295872747898102,0.7599194049835205,0.9409960508346558,0.43772515654563904,0.9988774061203003,0.8767001032829285
25,0.8333333333333334,1,right,179.96951066457257,179.96603772056554,,0.36638548970222473,0.4872579872608185,0.994621992111206,0.36326104402542114,0.7395649552345276,0.8183550238609314,0.34517714381217957,0.9794391989707947,0.7444822788238525,0.4205312132835388,0.49137771129608154,0.9959792494773865,0.42970141768455505,0.7599334120750427,0.940018355846405,0.4377392828464508,0.9990586042404175,0.8748254776000977
26,0.8666666666666667,1,right,179.96080446149213,179.96951066457257,,0.3663592040538788,0.48673126101493835,0.9945487380027771,0.3633631765842438,0.7387381792068481,0.8169049024581909,0.34524041414260864,0.9795796871185303,0.7432094812393188,0.42049187421798706,0.49065691232681274,0.995893120765686,0.42971712350845337,0.7595582604408264,0.9392041563987732,0.43776798248291016,0.9990081787109375,0.8729156255722046
